kintamojo_pavadinimas,kintamojo_reikšmių_kodai,kintamojo_reikšmių_aprašymas,kintamojo_aprašymas,objectid
,,,TECHNINIAI TYRIMO KINTAMIEJI,1
,,,,2
PID,,,Respondento identifikacinis numeris,3
WGT,,,Asmens populiacijos svoris,4
PROXY,1,Pats respondentas,Dalyvavimo tyrime pobūdis,5
,2,Už respondentą atsakė kitas to paties namų ūkio narys  ,,6
,3,"Už respondentą atsakė kitas jį prižiūrintis, namų ūkiui nepriklausantis, asmuo ",,7
REFDATE,YYYYMMDD,"YYYY (metai):2019; MM (mėnuo): 01-12; DD (diena): 01-31",Apklausos ataskaitinė data,8
,,,,9
,,,PAGRINDINIAI SOCIALINIAI KINTAMIEJI,10
,,,,11
SEX,1,Vyras,Lytis,12
,2,Moteris,,13
AGE,15-99,Sukakusių metų skaičius ,Amžius,14
BIRTHPLACE,10,Lietuvos Respublika,Gimimo šalis,15
,20,Kita šalis,,16
CITIZEN,10,Lietuvos Respublikos,Pilietybė,17
,20,Kitos šalies ,,18
AP,1,Alytaus apskritis,Apskritys,19
,2,Kauno apskritis,,20
,3,Klaipėdos apskritis,,21
,4,Marijampolės apskritis,,22
,5,Panevėžio apskritis,,23
,6,Šiaulių apskritis,,24
,7,Tauragės apskritis,,25
,8,Telšių apskritis,,26
,9,Utenos apskritis,,27
,10,Vilniaus apskritis,,28
DEG_URB,1,Tankiai apgyvendinta vietovė,Urbanizacijos lygis,29
,2,Vidutiniškai apgyvendinta vietovė,,30
,3,Retai apgyvendinta vietovė,,31
M_K,1,Miestas,Miestas ar kaimas,32
,2,Kaimas,,33
MARSTALEGAL,1,Niekada nebuvote vedęs (ištekėjusi),Juridinė santuokinė padėtis,34
,2,Vedęs (ištekėjusi),,35
,3,Našlys (-ė),,36
,4,Išsituokęs (-usi),,37
HATLEVEL,0,Ikimokyklinis ugdymas (ISCED 0),Įgytas aukščiausias išsilavinimas (ISCED 2011),38
,1,Pradinis išsilavinimas (ISCED 1),,39
,2,Pagrindinis išsilavinimas (ISCED 2),,40
,3,Vidurinis išsilavinimas (ISCED 3),,41
,4,Profesinis mokymas turint vidurinį išsilavinimą (ISCED 4),,42
,6,Bakalauro studijos (ISCED 6),,43
,7,Magistrantūros studijos (ISCED 7),,44
,8,Doktorantūra (ISCED 8),,45
MAINSTAT,10,Užimtas asmuo,Ekonominio aktyvumo statusas,46
,20,Bedarbis (-ė) ,,47
,30,Nedirbantis (-i) senatvės pensininkas (-ė),,48
,40,Dėl negalios nedirbantis asmuo,,49
,50,"Mokinys (-ė), nedirbantis (-i) studentas (-ė)",,50
,60,Namų šeimininkas (-ė) ,,51
,70,Atliekantis privalomąją karo ar alternatyviąją tarnybą,,52
,80,Kitas neaktyvus asmuo ,,53
FT_PT,1,Visą,Dirba visą ar ne visą darbo dienos ar savaitės laiką,54
,2,Ne visą,,55
,-2,Netaikoma,,56
JOBSTAT,11,"Savarankiškai dirbantis asmuo, turintis samdomųjų darbuotojų",Užimtumo statusas,57
,12,"Savarankiškai dirbantis asmuo, neturintis samdomųjų darbuotojų",,58
,20,Samdomasis darbuotojas,,59
,30,Padedantis ūkyje ar šeimos versle ir atlyginimo negaunantis šeimos narys,,60
,-2,Netaikoma,,61
JOBISCO," 11 - 96; 0",Profesijos kodas (ISCO-08) pagrindiniame darbe,Profesija,62
,-2,Netaikoma,,63
LOCNACE,A - U,Statistinis ekonominės veiklos rūšių klasifikatorius (NACE 2 red.),Pagrindinė darbovietės ekonominės veiklos rūšis,64
,-2,Netaikoma,,65
HHNBPERS,0 - 98,Skaičius,Namų ūkio narių skaičius (įskaitant respondentą),66
HHNBPERS_0_13,0 - 98,Skaičius,13 metų ir jaunesnių vaikų skaičius namų ūkyje,67
HHTYPE,10,Vieno asmens namų ūkis,Namų ūkio tipas,68
